image,split,ih,iw,sh,sw,color,object,part,material,scene,texture
ade20k/ADE_train_00003891.jpg,train,224,224,112,112,ade20k/ADE_train_00003891_color.png,ade20k/ADE_train_00003891_object.png,,,83,
ade20k/ADE_train_00006107.jpg,train,224,224,112,112,ade20k/ADE_train_00006107_color.png,ade20k/ADE_train_00006107_object.png,ade20k/ADE_train_00006107_part_1.png,,301,
ade20k/ADE_train_00010928.jpg,train,224,224,112,112,ade20k/ADE_train_00010928_color.png,ade20k/ADE_train_00010928_object.png,ade20k/ADE_train_00010928_part_1.png,,994,
ade20k/ADE_train_00018550.jpg,train,224,224,112,112,ade20k/ADE_train_00018550_color.png,ade20k/ADE_train_00018550_object.png,ade20k/ADE_train_00018550_part_1.png;ade20k/ADE_train_00018550_part_2.png,,59,
ade20k/ADE_train_00019640.jpg,train,224,224,112,112,ade20k/ADE_train_00019640_color.png,ade20k/ADE_train_00019640_object.png,ade20k/ADE_train_00019640_part_1.png,,410,
ade20k/ADE_train_00017062.jpg,train,224,224,112,112,ade20k/ADE_train_00017062_color.png,ade20k/ADE_train_00017062_object.png,ade20k/ADE_train_00017062_part_1.png;ade20k/ADE_train_00017062_part_2.png,,59,
ade20k/ADE_train_00001215.jpg,train,224,224,112,112,ade20k/ADE_train_00001215_color.png,ade20k/ADE_train_00001215_object.png,ade20k/ADE_train_00001215_part_1.png,,647,
ade20k/ADE_train_00011520.jpg,train,224,224,112,112,ade20k/ADE_train_00011520_color.png,ade20k/ADE_train_00011520_object.png,,,491,
ade20k/ADE_train_00015917.jpg,train,224,224,112,112,ade20k/ADE_train_00015917_color.png,ade20k/ADE_train_00015917_object.png,,,0,
ade20k/ADE_train_00007572.jpg,train,224,224,112,112,ade20k/ADE_train_00007572_color.png,ade20k/ADE_train_00007572_object.png,,,956,
ade20k/ADE_train_00008543.jpg,train,224,224,112,112,ade20k/ADE_train_00008543_color.png,ade20k/ADE_train_00008543_object.png,,,0,
ade20k/ADE_train_00012348.jpg,train,224,224,112,112,ade20k/ADE_train_00012348_color.png,ade20k/ADE_train_00012348_object.png,ade20k/ADE_train_00012348_part_1.png,,,
ade20k/ADE_train_00005573.jpg,train,224,224,112,112,ade20k/ADE_train_00005573_color.png,ade20k/ADE_train_00005573_object.png,ade20k/ADE_train_00005573_part_1.png,,788,
ade20k/ADE_train_00004131.jpg,train,224,224,112,112,ade20k/ADE_train_00004131_color.png,ade20k/ADE_train_00004131_object.png,ade20k/ADE_train_00004131_part_1.png,,83,
ade20k/ADE_train_00013280.jpg,train,224,224,112,112,ade20k/ADE_train_00013280_color.png,ade20k/ADE_train_00013280_object.png,,,,
ade20k/ADE_train_00001785.jpg,train,224,224,112,112,ade20k/ADE_train_00001785_color.png,ade20k/ADE_train_00001785_object.png,ade20k/ADE_train_00001785_part_1.png;ade20k/ADE_train_00001785_part_2.png,,424,
